bend, twist, total
176150.421875, 164504.734375, 170327.578125
174436.578125, 165145.625, 169791.09375
170690.125, 164659.28125, 167674.703125
169454.234375, 164400.953125, 166927.59375
167767.875, 164419.734375, 166093.8125
167037.234375, 164326.875, 165682.0625
166323.953125, 164289.765625, 165306.859375
166821.578125, 164264.59375, 165543.09375
166815.296875, 164180.453125, 165497.875
166957.34375, 164227.46875, 165592.40625
166706.328125, 164241.140625, 165473.734375
166774.796875, 164225.140625, 165499.96875
166407.140625, 164203.34375, 165305.25
166406.125, 164236.171875, 165321.15625
165991.9375, 164244.734375, 165118.34375
166153.0, 164223.890625, 165188.4375
165703.140625, 164239.828125, 164971.484375
165899.359375, 164250.015625, 165074.6875
165615.484375, 164244.71875, 164930.09375
165643.6875, 164289.515625, 164966.59375
165208.671875, 164308.640625, 164758.65625
165493.609375, 164202.375, 164848.0
165290.015625, 164225.40625, 164757.71875
165339.25, 164217.28125, 164778.265625
165192.078125, 164222.25, 164707.15625
165307.15625, 164228.640625, 164767.90625
165124.03125, 164242.109375, 164683.0625
165256.4375, 164262.1875, 164759.3125
165075.0625, 164260.1875, 164667.625
165166.546875, 164225.84375, 164696.1875
165010.171875, 164221.140625, 164615.65625
165097.953125, 164235.578125, 164666.765625
164943.8125, 164228.921875, 164586.375
164917.484375, 164263.28125, 164590.375
164842.71875, 164323.46875, 164583.09375
164891.390625, 164350.578125, 164620.984375
164828.71875, 164333.28125, 164581.0
164864.21875, 164359.546875, 164611.875
164863.265625, 164349.546875, 164606.40625
164804.796875, 164342.96875, 164573.875
164858.53125, 164351.03125, 164604.78125
164796.875, 164373.921875, 164585.40625
164803.53125, 164376.046875, 164589.78125
164795.140625, 164373.390625, 164584.265625
164813.46875, 164367.234375, 164590.34375
164744.890625, 164374.015625, 164559.453125
164803.3125, 164346.734375, 164575.03125
164859.3125, 164328.703125, 164594.0
164807.671875, 164396.328125, 164602.0
