bend, twist, total
176150.359375, 164504.734375, 170327.546875
174436.15625, 165145.53125, 169790.84375
170700.234375, 164655.71875, 167677.96875
169493.140625, 164397.96875, 166945.5625
167796.125, 164422.90625, 166109.515625
167217.5625, 164318.65625, 165768.109375
166666.796875, 164263.375, 165465.09375
167362.234375, 164239.5, 165800.875
166879.9375, 164185.0, 165532.46875
167324.328125, 164185.03125, 165754.6875
166625.953125, 164244.96875, 165435.46875
166866.1875, 164226.828125, 165546.5
166418.96875, 164214.84375, 165316.90625
166462.796875, 164230.78125, 165346.78125
166049.875, 164236.6875, 165143.28125
166202.3125, 164231.46875, 165216.890625
165963.78125, 164215.421875, 165089.59375
166327.1875, 164198.28125, 165262.734375
165760.734375, 164197.78125, 164979.25
165900.125, 164253.703125, 165076.90625
165533.140625, 164248.15625, 164890.65625
165825.171875, 164238.265625, 165031.71875
165359.4375, 164285.65625, 164822.546875
165554.171875, 164274.46875, 164914.3125
165266.484375, 164298.09375, 164782.28125
165409.109375, 164288.6875, 164848.90625
165168.5, 164340.125, 164754.3125
165269.359375, 164322.640625, 164796.0
165576.28125, 164314.90625, 164945.59375
166032.171875, 164309.046875, 165170.609375
165526.09375, 164352.875, 164939.484375
165719.28125, 164321.921875, 165020.59375
165351.796875, 164339.953125, 164845.875
165517.734375, 164328.640625, 164923.1875
165197.53125, 164363.859375, 164780.6875
165370.109375, 164359.140625, 164864.625
165195.8125, 164380.109375, 164787.96875
165340.609375, 164352.484375, 164846.546875
165139.4375, 164358.234375, 164748.84375
165310.125, 164374.953125, 164842.53125
165104.296875, 164346.90625, 164725.59375
165181.890625, 164347.0625, 164764.46875
164956.921875, 164312.390625, 164634.65625
165020.859375, 164277.09375, 164648.96875
164835.515625, 164292.875, 164564.1875
164951.984375, 164329.328125, 164640.65625
164747.3125, 164279.9375, 164513.625
164937.3125, 164308.078125, 164622.6875
164719.171875, 164270.28125, 164494.71875
